CHEMICAL NAME,CAS No.,RTECS No.
p-Anisidine*,104-94-9,BZ5450000
para-Aminoanisole,104-94-9,BZ5450000
para-Aminonitrobenzene,100-01-6,BY7000000
sec-Amyl acetate*,626-38-0,AJ2100000
trans-Acetylene dichloride,540-59-0,KV9360000
a-Alumina*,1344-28-1,BD1200000
"1,1'-Biphenyl-4,4'-diamine",92-87-5,DC9625000
"1,2,4-Benzenetricarboxylic anhydride",552-30-7,DC2050000
"1,2-Benzenedicarboxylic anhydride",85-44-9,TI3150000
"1,2-Benzenediol",120-80-9,UX1050000
"1,3-Benzenedicarbonitrile",626-17-5,CZ1900000
"1,3-Benzenedimethanamine",1477-55-0,PF8970000
"1,3-Benzenediol",108-46-3,VG9625000
"1,3-Butadiene*",106-99-0,EI9275000
"1,4-Benzenediamine",106-50-3,SS8050000
"1,4-Benzenediol",123-31-9,MX3500000
"1,4-Benzoquinone",106-51-4,DK2625000
"1-Bromo-1-chloro-2,2,2-trifluoroethane",151-67-7,KH6550000
1-Butanethiol,109-79-5,EK6300000
1-Butanol,71-36-3,EO1400000
"2-Bromo-2-chloro-1,1,1-trifluoroethane",151-67-7,KH6550000
2-Butanol,78-92-2,EO1750000
2-Butanone*,78-93-3,EL6475000
2-Butanone peroxide,1338-23-4,EL9450000
2-Butenal,4170-30-3,GP9499000
2-Butoxyethanol*,111-76-2,KJ8575000
2-Butoxyethanol acetate*,112-07-2,KJ8925000
2-Butoxyethyl acetate,112-07-2,KJ8925000
2-sec-Butylphenol,89-72-5,SJ8920000
"4,4'-Bianiline",92-87-5,DC9625000
"4,4'-Biphenyldiamine",92-87-5,DC9625000
4-t-Butyl-2-chlorophenylmethyl methylphosphoramidate,299-86-5,TB3850000
4-tert-Butyltoluene,98-51-1,XS8400000
5-Bromo-3-sec-butyl-6-methyluracil,314-40-9,YQ9100000
5-Bromo-6-methyl-3-(1-methylpropyl)uracil,314-40-9,YQ9100000
Bacillus subtilis,1395-21-7 (BPN)9014-01-1 (Carlsburg),"CO9450000 (BPN),CO9550000 (Carlsburg)"
Bacillus subtilis BPN,1395-21-7 (BPN)9014-01-1 (Carlsburg),"CO9450000 (BPN),CO9550000 (Carlsburg)"
Bacillus subtilis Carlsburg,1395-21-7 (BPN)9014-01-1 (Carlsburg),"CO9450000 (BPN),CO9550000 (Carlsburg)"
Banana oil,123-92-2,NS9800000
Barite,7727-43-7,CR0600000
Barium chloride (as Ba)*,10361-37-2,CQ8750000
Barium dichloride,10361-37-2,CQ8750000
Barium dinitrate,10022-31-8,CQ9625000
Barium nitrate (as Ba)*,10022-31-8,CQ9625000
Barium salt of nitric acid,10022-31-8,CQ9625000
Barium salt of sulfuric acid,7727-43-7,CR0600000
Barium sulfate*,7727-43-7,CR0600000
Barium(II) nitrate (1:2),10022-31-8,CQ9625000
Barytes (natural),7727-43-7,CR0600000
Basudin®,333-41-5,TF3325000
Battery acid,7664-93-9,WS5600000
Baytex,55-38-9,TF9625000
BCME,542-88-1,KN1575000
Beet sugar,57-50-1,WN6500000
Benomyl*,17804-35-2,DD6475000
Benzenamine,62-53-3,BW6650000
Benzene*,71-43-2,CY1400000
Benzene chloride,108-90-7,CZ0175000
Benzene hexahydride,110-82-7,GU6300000
Benzene tetrahydride,110-83-8,GW2500000
Benzenethiol*,108-98-5,DC0525000
Benzidine*,92-87-5,DC9625000
Benzidine-based dyes,92-87-5,DC9625000
Benzo(a)pyrene,65996-93-2,GF8655000
Benzoepin,115-29-7,RB9275000
Benzol,71-43-2,CY1400000
Benzoperoxide,94-36-0,DM8575000
Benzoyl peroxide*,94-36-0,DM8575000
Benzyl chloride*,100-44-7,XS8925000
Beryllium & beryllium compounds (as Be)*,7440-41-7 (metal),DS1750000 (metal)
Beryllium metal,7440-41-7 (metal),DS1750000 (metal)
BGE,2426-08-6,TX4200000
BHC,58-89-9,GV4900000
BHT,128-37-0,GO7875000
Bicyclopentadiene,77-73-6,PC1050000
Bidrin®,141-66-2,TC3850000
Biethylene,106-99-0,EI9275000
Biotite,12001-26-2,VV8760000
Biphenyl,92-52-4,DU8050000
bis-(2-Ethylhexyl)phthalate,117-81-7,TI0350000
Bismuth sesquitelluride,1304-82-1,EB3110000
Bismuth telluride,1304-82-1,EB3110000
"Bismuth telluride, doped with Selenium sulfide (as Bi2Te3)*",,
"Bismuth telluride, undoped*",1304-82-1,EB3110000
Bismuth tritelluride,1304-82-1,EB3110000
Bitumen,8052-42-4,CI9900000
Bituminous coal dust,,GF8281000
Bivinyl,106-99-0,EI9275000
Black copper oxide fume,1317-38-0 (CuO),GL7900000 (CuO)
Black lead,7782-42-5,MD9659600
Bladafum®,3689-24-5,XN4375000
Bolstar®,35400-43-2,TE4165000
"Borates, tetra, sodium salts (Anhydrous)*",1330-43-4,ED4588000
"Borates, tetra, sodium salts (Decahydrate)*",1303-96-4,VZ2275000
"Borates, tetra, sodium salts (Pentahydrate)*",12179-04-3,VZ2540000
Borax,1303-96-4,VZ2275000
Borax decahydrate,1303-96-4,VZ2275000
Borax dehydrated,1330-43-4,ED4588000
Borax pentahydrate,12179-04-3,VZ2540000
Boric anhydride,1303-86-2,ED7900000
Boric oxide,1303-86-2,ED7900000
Boroethane,19287-45-7,HQ9275000
Boron bromide,10294-33-4,ED7400000
Boron fluoride,7637-07-2,ED2275000
Boron hydride,19287-45-7,HQ9275000
Boron oxide*,1303-86-2,ED7900000
Boron tribromide*,10294-33-4,ED7400000
Boron trifluoride*,7637-07-2,ED2275000
Boron trioxide,1303-86-2,ED7900000
Bottled gas,74-98-6,TX2275000
Bottled gas,68476-85-7,SE7545000
BPL,57-57-8,RQ7350000
Bromacil*,314-40-9,YQ9100000
Bromine*,7726-95-6,EF9100000
Bromine fluoride,7789-30-2,EF9350000
Bromine pentafluoride*,7789-30-2,EF9350000
Bromochloromethane,74-97-5,PA5250000
Bromoethane,74-96-4,KH6475000
Bromoethene,593-60-2,KU8400000
Bromoethylene,593-60-2,KU8400000
Bromoform*,75-25-2,PB5600000
Bromomethane,74-83-9,PA4900000
Bromotrifluoromethane,75-63-8,PA5425000
Burned lime,1305-78-8,EW3100000
Burnt lime,1305-78-8,EW3100000
Butadiene,106-99-0,EI9275000
Butanedinitrile,110-61-2,WN3850000
Butanenitrile,109-74-0,ET8750000
Butanethiol,109-79-5,EK6300000
Butter yellow,60-11-7,BX7350000
Butyl acetate,123-86-4,AF7350000
Butyl acrylate*,141-32-2,UD3150000
Butyl alcohol,71-36-3,EO1400000
Butyl Cellosolve®,111-76-2,KJ8575000
Butyl Cellosolve® acetate,112-07-2,KJ8925000
Butyl ester of 2-hydroxypropanoic acid,138-22-7,OD4025000
Butyl ester of acrylic acid,141-32-2,UD3150000
Butyl ester of lactic acid,138-22-7,OD4025000
Butyl ethanoate,123-86-4,AF7350000
Butyl ethyl ketone,106-35-4,MJ5250000
Butyl glycol acetate,112-07-2,KJ8925000
Butyl hydride,106-97-8,EJ4200000
Butyl lactate,138-22-7,OD4025000
Butyl methyl ketone,591-78-6,MP1400000
Butyl oxitol,111-76-2,KJ8575000
Butyl phosphate,126-73-8,TC7700000
Butyl-2-propenoate,141-32-2,UD3150000
Butylamine,109-73-9,EO2975000
Butylated hydroxytoluene,128-37-0,GO7875000
Butylene hydrate,78-92-2,EO1750000
Butyrone,123-19-3,MJ5600000
Butyronitrile,109-74-0,ET8750000
cis-Butenedioic anhydride,108-31-6,ON3675000
di-tert-Butyl ester of chromic acid,1189-85-1,GB2900000
m-Benzenediol,108-46-3,VG9625000
n-Butane*,106-97-8,EJ4200000
n-Butanethiol,109-79-5,EK6300000
n-Butanol,71-36-3,EO1400000
n-Butyl acetate*,123-86-4,AF7350000
n-Butyl acrylate,141-32-2,UD3150000
n-Butyl alcohol*,71-36-3,EO1400000
n-Butyl ester of acetic acid,123-86-4,AF7350000
n-Butyl glycidyl ether*,2426-08-6,TX4200000
n-Butyl lactate*,138-22-7,OD4025000
n-Butyl mercaptan*,109-79-5,EK6300000
n-Butylamine*,109-73-9,EO2975000
n-Butyronitrile*,109-74-0,ET8750000
normal-Butane,106-97-8,EJ4200000
o-Benzenediol,120-80-9,UX1050000
o-sec-Butylphenol*,89-72-5,SJ8920000
p-Benzenediol,123-31-9,MX3500000
p-Benzoquinone,106-51-4,DK2625000
p-tert-Butyltoluene*,98-51-1,XS8400000
"S-[1,2-bis(ethoxycarbonyl) ethyl]O,O-dimethyl-phosphorodithioate",121-75-5,WM8400000
sec-Butyl acetate*,105-46-4,AF7380000
sec-Butyl alcohol*,78-92-2,EO1750000
sec-Butyl ester of acetic acid,105-46-4,AF7380000
tert-Butyl acetate*,540-88-5,AF7400000
tert-Butyl alcohol*,75-65-0,EO1925000
tert-Butyl chromate*,1189-85-1,GB2900000
tert-Butyl ester of acetic acid,540-88-5,AF7400000
tert-Butyl valone,83-26-1,NK6300000
ã-Chloropropylene oxide,106-89-8,TX4900000
α-Chlorotoluene,100-44-7,XS8925000
β-Chloroprene*,126-99-8,EI9625000
"1,3-Cyclopentadiene",542-92-7,GY1000000
"1,4-Cyclohexadiene dioxide",106-51-4,DK2625000
1-Chloro-1-nitropropane*,600-25-9,TX5075000
"1-Chloro-2,3-dibromopropane",96-12-8,TX8750000
"1-Chloro-2,3-epoxypropane",106-89-8,TX4900000
1-Chloro-2-ethenylbenzene,2039-87-4,WL4160000
1-Chloro-2-methylbenzene,95-49-8,XS9000000
1-Chloro-2-propene,107-05-1,UC7350000
1-Chloro-4-nitrobenzene,100-00-5,CZ1050000
1-Cyanopropane,109-74-0,ET8750000
2-Camphonone,76-22-2,EX1225000
2-Carbomethoxy-1-methylvinyl dimethyl phosphate,7786-34-7,GQ5250000
"2-Chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",13838-16-9,KN6800000
"2-Chloro-1,1,2-trifluoroethyl difluoromethyl ether",13838-16-9,KN6800000
"2-Chloro-1,3-butadiene",126-99-8,EI9625000
2-Chloro-1-methylbenzene,95-49-8,XS9000000
2-Chloro-4-ethylamino-6-isopropylamino-s-triazine,1912-24-9,XY5600000
2-Chloro-6-(trichloro-methyl)pyridine,1929-82-4,US7525000
2-Chloro-6-trichloromethyl pyridine*,1929-82-4,US7525000
2-Chloroacetaldehyde,107-20-0,AB2450000
2-Chloroacetophenone,532-27-4,AM6300000
2-Chlorobenzalmalonitrile,2698-41-1,OO3675000
2-Chloroethanal,107-20-0,AB2450000
2-Chloroethanol,107-07-3,KK0875000
2-Chloroethyl alcohol,107-07-3,KK0875000
2-Chloropropylene oxide,106-89-8,TX4900000
2-Chlorostyrene,2039-87-4,WL4160000
2-Chlorotoluene,95-49-8,XS9000000
2-Cresol,95-48-7,GO6300000
2-Cyano-1-propene,126-98-7,UD1400000
2-Cyano-2-propanol,75-86-5,OD9275000
2-Cyanopropene-1,126-98-7,UD1400000
3-Chloroallyl chloride,542-75-6,UC8310000
3-Chloropropene,107-05-1,UC7350000
3-Chloropropylene,107-05-1,UC7350000
3-Cresol,108-39-4,GO6125000
4-Carboxyphthalic anhydride,552-30-7,DC2050000
4-Chloronitrobenzene,100-00-5,CZ1050000
4-Cresol,106-44-5,GO6475000
"6-Chloro-N-ethyl-N'- (1-methylethyl)-1,3,5-triazine-2,4-diamine",1912-24-9,XY5600000
bis(2-Chloroethyl)ether,111-44-4,KN0875000
bis(Cyclopentadienyl)iron,102-54-5,LK0700000
bis-Chloromethyl ether*,542-88-1,KN1575000
bis-CME,542-88-1,KN1575000
Cadmium dust (as Cd)*,7440-43-9 (metal),EU9800000 (metal)
Cadmium fume (as Cd)*,1306-19-0 (CdO),EV1930000 (CdO)
Cadmium metal,7440-43-9 (metal),EU9800000 (metal)
Cadmium monoxide,1306-19-0 (CdO),EV1930000 (CdO)
Cadmium oxide fume,1306-19-0 (CdO),EV1930000 (CdO)
Calcium arsenate (as As)*,7778-44-1,CG0830000
Calcium carbimide,156-62-7,GS6000000
Calcium carbonate*,471-34-1 (synthetic)1317-65-3 (natural),EV9580000
Calcium carbonate [Limestone],1317-65-3,EV9580000
Calcium carbonate [Marble],1317-65-3,EV9580000
Calcium cyanamide*,156-62-7,GS6000000
Calcium hydrate,1305-62-0,EW2800000
Calcium hydrosilicate,1344-95-2,VV9150000
Calcium hydroxide*,1305-62-0,EW2800000
Calcium metasilicate,1344-95-2,VV9150000
Calcium monosilicate,1344-95-2,VV9150000
Calcium oxide*,1305-78-8,EW3100000
Calcium salt (2:3) of arsenic acid,7778-44-1,CG0830000
Calcium salt of carbonic acid,471-34-1 (synthetic)1317-65-3 (natural),EV9580000
Calcium salt of silicic acid,1344-95-2,VV9150000
Calcium salt of sulfuric acid,7778-18-9,WS6920000
Calcium silicate*,1344-95-2,VV9150000
Calcium sulfate*,7778-18-9,WS6920000
Calcium sulfate hemihydrate,26499-65-0,TP0700000
Calcium(II) sulfate dihydrate,13397-24-5,MG2360000
Camphor (synthetic)*,76-22-2,EX1225000
Cane sugar,57-50-1,WN6500000
Caprolactam*,105-60-2,CM3675000
Captafol*,2425-06-1,GW4900000
Captan*,133-06-2,GW5075000
Captane,133-06-2,GW5075000
Captofol,2425-06-1,GW4900000
Carbamaldehyde,75-12-7,LQ0525000
Carbaryl*,63-25-2,FC5950000
Carbicron®,141-66-2,TC3850000
Carbimide,420-04-2,GS5950000
Carbinol,67-56-1,PC1400000
Carbodiimide,420-04-2,GS5950000
Carbofuran*,1563-66-2,FB9450000
Carbolic acid,108-95-2,SJ3325000
Carbomethene,463-51-4,OA7700000
Carbon bisulfide,75-15-0,FF6650000
Carbon black*,1333-86-4,FF5800000
Carbon bromide,558-13-4,FG4725000
Carbon chloride,56-23-5,FG4900000
Carbon difluoride oxide,353-50-4,FG6125000
Carbon dioxide*,124-38-9,FF6400000
Carbon disulfide*,75-15-0,FF6650000
Carbon fluoride oxide,353-50-4,FG6125000
Carbon hexachloride,67-72-1,KI4025000
Carbon monoxide*,630-08-0,FG3500000
Carbon nitride,460-19-5,GT1925000
Carbon oxide,630-08-0,FG3500000
Carbon oxychloride,75-44-5,SY5600000
Carbon oxyfluoride,353-50-4,FG6125000
Carbon silicide,409-21-2,VW0450000
Carbon tet,56-23-5,FG4900000
Carbon tetrabromide*,558-13-4,FG4725000
Carbon tetrachloride*,56-23-5,FG4900000
Carbonate magnesium,546-93-0,OM2470000
Carbonic acid gas,124-38-9,FF6400000
Carbonyl chloride,75-44-5,SY5600000
Carbonyl dichloride,75-44-5,SY5600000
Carbonyl difluoride,353-50-4,FG6125000
Carbonyl fluoride*,353-50-4,FG6125000
Carborundum®,409-21-2,VW0450000
Carboxyethane,79-09-4,UE5950000
Catechol*,120-80-9,UX1050000
Caustic lime,1305-62-0,EW2800000
Caustic potash,1310-58-3,TT2100000
Caustic soda,1310-73-2,WB4900000
CB,74-97-5,PA5250000
CBM,74-97-5,PA5250000
Cellosolve®,110-80-5,KK8050000
Cellosolve® acetate,111-15-9,KK8225000
Cellulose*,9004-34-6,FJ5691460
Celtium,7440-58-6,MG4600000
Cement,65997-15-1,VV8770000
Cemented tungsten carbide,1: 11107-01-02: 12718-69-33: 37329-49-0,"1: YO7350000,2: YO7525000,3: YO7700000"
Cemented WC,1: 11107-01-02: 12718-69-33: 37329-49-0,"1: YO7350000,2: YO7525000,3: YO7700000"
Cesium hydrate,21351-79-1,FK9800000
Cesium hydroxide*,21351-79-1,FK9800000
Cesium hydroxide dimer,21351-79-1,FK9800000
Cetyl mercaptan,2917-26-2,
CFC-113,76-13-1,KJ4000000
Channel black,1333-86-4,FF5800000
China clay,1332-58-7,GF1670500
Chlorcyan,506-77-4,GT2275000
Chlordan,57-74-9,PB9800000
Chlordane*,57-74-9,PB9800000
Chlordano,57-74-9,PB9800000
Chlordecone,143-50-0,PC8575000
Chlorinated camphene*,8001-35-2,XW5250000
Chlorinated diphenyl oxide*,,
Chlorine*,7782-50-5,FO2100000
Chlorine cyanide,506-77-4,GT2275000
Chlorine dioxide*,10049-04-4,FO3000000
Chlorine fluoride,7790-91-2,FO2800000
Chlorine fluoride oxide,7616-94-6,SD1925000
Chlorine oxide,10049-04-4,FO3000000
Chlorine oxyfluoride,7616-94-6,SD1925000
Chlorine peroxide,10049-04-4,FO3000000
Chlorine trifluoride*,7790-91-2,FO2800000
Chloroacetaldehyde*,107-20-0,AB2450000
Chloroacetaldehyde (40% aqueous solution),107-20-0,AB2450000
Chloroacetic acid chloride,79-04-9,AO6475000
Chloroacetic chloride,79-04-9,AO6475000
Chloroacetyl chloride*,79-04-9,AO6475000
Chlorobenzene*,108-90-7,CZ0175000
Chlorobenzol,108-90-7,CZ0175000
Chlorobromomethane*,74-97-5,PA5250000
Chlorobutadiene,126-99-8,EI9625000
Chlorocamphene,8001-35-2,XW5250000
Chlorochromic anhydride,14977-61-8,GB5775000
Chlorocyanide,506-77-4,GT2275000
Chlorocyanogen,506-77-4,GT2275000
Chlorodifluoromethane*,75-45-6,PA6390000
Chlorodimethyl ether,107-30-2,KN6650000
Chlorodiphenyl (42% chlorine)*,53469-21-9,TQ1356000
Chlorodiphenyl (54% chlorine)*,11097-69-1,TQ1360000
Chloroethane,75-00-3,KH7525000
Chloroethene,75-01-4,KU9625000
Chloroethylene,75-01-4,KU9625000
Chlorofluorocarbon-113,76-13-1,KJ4000000
Chloroform*,67-66-3,FS9100000
Chloroformic acid dimethylamide,79-44-7,FD4200000
Chloroformyl chloride,75-44-5,SY5600000
Chloromethane,74-87-3,PA6300000
Chloromethoxymethane,107-30-2,KN6650000
Chloromethyl ether,542-88-1,KN1575000
Chloromethyl methyl ether*,107-30-2,KN6650000
Chloromethyl phenyl ketone,532-27-4,AM6300000
Chloromethylbenzene,100-44-7,XS8925000
Chloropentafluoroethane*,76-15-3,KH7877500
Chloropicrin*,76-06-2,PB6300000
Chloroprene,126-99-8,EI9625000
Chlorothene,71-55-6,KJ2975000
Chlorotrifluoride,7790-91-2,FO2800000
Chlorpyrifos*,2921-88-2,TF6300000
Chlorpyrifos-ethyl,2921-88-2,TF6300000
Chrome,7440-47-3,GB4200000
Chromic acid (CrO3),1333-82-0 (CrO3),GB6650000 (CrO3)
Chromic acid and chromates*,1333-82-0 (CrO3),GB6650000 (CrO3)
Chromic anhydride,1333-82-0 (CrO3),GB6650000 (CrO3)
